DayNum,Timestamp(ms),Timestamp (s),Timestamp (numbers),HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V]
4.698312648,92200,92.2,0.00106713,21.5,48.4146347,366.5
4.698312648,92900,92.9,0.001075231,21.5,48.4146347,366.5
4.698312648,93200,93.2,0.001078704,21.5,48.4146347,366.5
4.698312648,93400,93.4,0.001081019,21.5,48.4146347,369
4.698312648,93600,93.6,0.001083333,13,48.4146347,369
4.698312648,94200,94.2,0.001090278,13,48.4146347,369
4.698312648,95300,95.3,0.001103009,13,48.4146347,369
4.698312648,96300,96.3,0.001114583,13,48.4146347,369
4.698312648,97400,97.4,0.001127315,13,48.4146347,369
4.698312648,97800,97.8,0.001131944,13,48.4146347,369
4.698312648,98400,98.4,0.001138889,13,48.4146347,369
4.698312648,98500,98.5,0.001140046,13,48.4146347,372
4.698312648,98600,98.6,0.001141204,33.5,48.4146347,372
4.698312648,99400,99.4,0.001150463,33.5,48.4146347,372
4.698312648,100500,100.5,0.001163194,33.5,48.4146347,372
4.698312648,101500,101.5,0.001174769,33.5,48.4146347,372
4.698312648,102600,102.6,0.0011875,33.5,48.4146347,372
4.698312648,103000,103,0.00119213,33.5,47.68292999,372
4.698312648,103500,103.5,0.001197917,33.5,47.68292999,376.5
4.698312648,103600,103.6,0.001199074,33.5,47.68292999,376.5
4.698312648,103700,103.7,0.001200231,30.5,47.68292999,376.5
4.698312648,104600,104.6,0.001210648,30.5,47.68292999,376.5
4.698312648,105700,105.7,0.00122338,30.5,47.68292999,376.5
4.698312648,106700,106.7,0.001234954,30.5,47.68292999,376.5
4.698312648,107800,107.8,0.001247685,30.5,47.68292999,376.5
4.698312648,107900,107.9,0.001248843,30.5,47.68292999,376.5
4.698312648,108600,108.6,0.001256944,30.5,47.68292999,373
4.698312648,108700,108.7,0.001258102,30,47.68292999,373
4.698312648,108800,108.8,0.001259259,30,47.68292999,373
4.698312648,109800,109.8,0.001270833,30,47.68292999,373
4.698312648,110900,110.9,0.001283565,30,47.68292999,373
4.698312648,111900,111.9,0.001295139,30,47.68292999,373
4.698312648,112900,112.9,0.001306713,30,47.68292999,373
4.698312648,113000,113,0.00130787,30,47.68292999,373
4.698312648,113600,113.6,0.001314815,30,47.68292999,376.5
4.698312648,113800,113.8,0.00131713,64.5,47.68292999,376.5
4.698312648,114000,114,0.001319444,64.5,47.68292999,376.5
4.698312648,115000,115,0.001331019,64.5,47.68292999,376.5
4.698312648,116100,116.1,0.00134375,64.5,47.68292999,376.5
4.698312648,117100,117.1,0.001355324,64.5,47.68292999,376.5
4.698312648,118100,118.1,0.001366898,64.5,47.92683029,376.5
4.698312648,118200,118.2,0.001368056,64.5,47.92683029,374.5
4.698312648,118300,118.3,0.001369213,-11.5,47.92683029,374.5
4.698312648,118800,118.8,0.001375,-11.5,47.92683029,374.5
5.780155407,0,0,0,3,75.24391174,379
5.780155407,1100,1.1,1.27315E-05,3,75.24391174,379
5.780155407,1900,1.9,2.19907E-05,28,75.24391174,379
5.780155407,2100,2.1,2.43056E-05,28,75.24391174,379
5.780155407,3200,3.2,3.7037E-05,28,75.24391174,379
5.780155407,4200,4.2,4.86111E-05,28,75.24391174,379
5.780155407,5200,5.2,6.01852E-05,28,75.24391174,379
5.780155407,5900,5.9,6.8287E-05,28,75.24391174,385
5.780155407,6000,6,6.94444E-05,28,75.24391174,385
5.780155407,6200,6.2,7.17593E-05,28,75.24391174,385
5.780155407,6300,6.3,7.29167E-05,28,75.24391174,385
5.780155407,6900,6.9,7.98611E-05,-37,75.24391174,385
5.780155407,7300,7.3,8.44907E-05,-37,75.24391174,385
5.780155407,8400,8.4,9.72222E-05,-37,75.24391174,385
5.780155407,9400,9.4,0.000108796,-37,75.24391174,385
5.780155407,10000,10,0.000115741,-37,75.24391174,385
5.780155407,10400,10.4,0.00012037,-37,75.24391174,385
5.780155407,10900,10.9,0.000126157,-37,75.24391174,378.5
5.780155407,11500,11.5,0.000133102,-37,75.24391174,378.5
5.780155407,12000,12,0.000138889,-17,75.24391174,378.5
5.780155407,12500,12.5,0.000144676,-17,75.24391174,378.5
5.780155407,13600,13.6,0.000157407,-17,75.24391174,378.5
5.780155407,14600,14.6,0.000168981,-17,75.24391174,378.5
5.780155407,15700,15.7,0.000181713,-17,75.24391174,378.5
5.780155407,16000,16,0.000185185,-17,75.24391174,380.5
5.780155407,16200,16.2,0.0001875,-17,75.24391174,380.5
5.780155407,16800,16.8,0.000194444,-17,75.24391174,380.5
5.780155407,17000,17,0.000196759,-34,75.24391174,380.5
5.780155407,17800,17.8,0.000206019,-34,75.24391174,380.5
5.780155407,18900,18.9,0.00021875,-34,75.24391174,380.5
5.780155407,19900,19.9,0.000230324,-34,75.24391174,380.5
5.780155407,21000,21,0.000243056,-34,75.24391174,378.5
5.780155407,22000,22,0.00025463,-34,75.24391174,378.5
5.780155407,22100,22.1,0.000255787,-24.5,75.24391174,378.5
5.780155407,23000,23,0.000266204,-24.5,75.24391174,378.5
5.780155407,24100,24.1,0.000278935,-24.5,75.24391174,378.5
5.780155407,25100,25.1,0.000290509,-24.5,75.24391174,378.5
5.780155407,26000,26,0.000300926,-24.5,75.24391174,380
5.780155407,26200,26.2,0.000303241,-24.5,75.24391174,380
5.780155407,27100,27.1,0.000313657,36.5,75.24391174,380
5.780155407,27200,27.2,0.000314815,36.5,75.24391174,380
5.780155407,28200,28.2,0.000326389,36.5,75.24391174,380
5.780155407,29300,29.3,0.00033912,36.5,75.24391174,380
5.780155407,30300,30.3,0.000350694,36.5,75.24391174,380
5.780155407,31000,31,0.000358796,36.5,75.24391174,388
5.780155407,31100,31.1,0.000359954,36.5,75.24391174,388
5.780155407,31400,31.4,0.000363426,36.5,75.24391174,388
5.780155407,32200,32.2,0.000372685,58.5,75.24391174,388
5.780155407,32400,32.4,0.000375,58.5,75.24391174,388
5.780155407,33400,33.4,0.000386574,58.5,75.24391174,388
5.780155407,34500,34.5,0.000399306,58.5,75.24391174,388
5.780155407,35500,35.5,0.00041088,58.5,75.24391174,388
5.780155407,36100,36.1,0.000417824,58.5,75.24391174,384.5
5.780155407,36600,36.6,0.000423611,58.5,75.24391174,384.5
5.780155407,37200,37.2,0.000430556,-14,75.24391174,384.5
5.780155407,37600,37.6,0.000435185,-14,75.24391174,384.5
5.780155407,38600,38.6,0.000446759,-14,75.24391174,384.5
5.780155407,39700,39.7,0.000459491,-14,75.24391174,384.5
5.780155407,40700,40.7,0.000471065,-14,75.24391174,384.5
5.780155407,41100,41.1,0.000475694,-14,75.24391174,373.5
5.780155407,41800,41.8,0.000483796,-14,75.24391174,373.5
5.780155407,42200,42.2,0.000488426,-66,75.24391174,373.5
5.780155407,42800,42.8,0.00049537,-66,75.24391174,373.5
5.780155407,43800,43.8,0.000506944,-66,75.24391174,373.5
5.780155407,44900,44.9,0.000519676,-66,75.24391174,373.5
5.780155407,45900,45.9,0.00053125,-66,75.24391174,373.5
5.780155407,46100,46.1,0.000533565,-66,75.24391174,373.5
5.780155407,46200,46.2,0.000534722,-66,75.24391174,376
5.780155407,47000,47,0.000543981,-66,75.24391174,376
5.780155407,47300,47.3,0.000547454,-58,75.24391174,376
5.780155407,48000,48,0.000555556,-58,75.24391174,376
5.780155407,49100,49.1,0.000568287,-58,75.24391174,376
5.780155407,50200,50.2,0.000581019,-58,75.24391174,376
5.780155407,51100,51.1,0.000591435,-58,75.24391174,376
5.780155407,51200,51.2,0.000592593,-58,75.24391174,375.5
5.780155407,52300,52.3,0.000605324,-40.5,75.24391174,375.5
5.780155407,53300,53.3,0.000616898,-40.5,75.24391174,375.5
5.780155407,54400,54.4,0.00062963,-40.5,75.24391174,375.5
5.780155407,55200,55.2,0.000638889,-40.5,74.51219177,375.5
5.780155407,55400,55.4,0.000641204,-40.5,74.51219177,375.5
5.780155407,56100,56.1,0.000649306,-40.5,74.51219177,375.5
5.780155407,56300,56.3,0.00065162,-40.5,74.51219177,377.5
5.780155407,56400,56.4,0.000652778,-40.5,74.51219177,377.5
5.780155407,57300,57.3,0.000663194,36.5,74.51219177,377.5
5.780155407,57500,57.5,0.000665509,36.5,74.51219177,377.5
5.780155407,58500,58.5,0.000677083,36.5,74.51219177,377.5
5.780155407,59600,59.6,0.000689815,36.5,74.51219177,377.5
5.780155407,60600,60.6,0.000701389,36.5,74.51219177,377.5
5.780155407,61100,61.1,0.000707176,36.5,74.51219177,377.5
5.780155407,61300,61.3,0.000709491,36.5,74.51219177,387.5
5.780155407,61600,61.6,0.000712963,36.5,74.51219177,387.5
5.780155407,62400,62.4,0.000722222,59,74.51219177,387.5
5.780155407,62700,62.7,0.000725694,59,74.51219177,387.5
5.780155407,63700,63.7,0.000737269,59,74.51219177,387.5
